cntry.code,adlit0615
ABW,97.17341995
AFG,34.95457935
AGO,71.07762527
ALB,96.89620209
AND,
ARB,77.36458588
ARE,92.98636627
ARG,98.06199646
ARM,99.75641251
ASM,
ATG,98.94999695
AUS,
AUT,
AZE,99.75886345
BDI,86.22198105
BEL,
BEN,33.57462502
BFA,30.88697529
BGD,61.03452492
BGR,98.37051392
BHR,95.13702774
BHS,
BIH,98.43170547
BLR,99.66954803
BLZ,82.77681732
BMU,
BOL,92.40634282
BRA,90.79541609
BRB,
BRN,96.37104797
BTN,60.47020912
BWA,87.96596146
CAF,36.75260925
CAN,
CEB,99.36096191
CHE,
CHI,
CHL,97.36078644
CHN,95.7409668
CIV,42.12347412
CMR,72.31867727
COD,71.14813741
COG,79.31117249
COL,93.41096401
COM,77.85533142
CPV,86.89660645
CRI,97.52691269
CSS,91.76071167
CUB,99.7316246
CUW,
CYM,98.86782074
CYP,98.86910248
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,90.44742584
DZA,75.79770915
EAP,94.75167084
EAR,76.50836182
EAS,95.10822296
ECA,98.79963684
ECS,98.99758911
ECU,90.74226284
EGY,72.63734131
EMU,
ERI,73.31787109
ESP,97.88483683
EST,99.85464859
ETH,44.01375008
EUU,
FCS,68.33666992
FIN,
FJI,
FRA,
FRO,
FSM,
GAB,82.76083755
GBR,
GEO,99.75593185
GHA,74.03648376
GIB,
GIN,27.89026451
GMB,54.98016167
GNB,59.25108528
GNQ,95.07620239
GRC,96.41262436
GRD,
GRL,
GTM,78.91591072
GUM,99.78903961
GUY,86.2646637
HIC,
HKG,
HND,85.70139204
HPC,57.83716583
HRV,99.19897461
HTI,54.68718529
HUN,99.21549988
IBD,87.32906342
IBT,82.39069366
IDA,64.43312073
IDB,69.03197479
IDN,93.35368093
IDX,61.65089417
IMN,
IND,68.09411112
INX,
IRL,
IRN,84.14378967
IRQ,79.62023163
ISL,
ISR,
ITA,98.93203735
JAM,88.31607437
JOR,95.31194763
JPN,
KAZ,99.76012802
KEN,75.09021378
KGZ,99.37136078
KHM,76.6108373
KIR,
KNA,
KOR,97.96594238
KWT,94.67820358
LAC,92.44799042
LAO,79.86746216
LBN,91.83177185
LBR,45.2706089
LBY,91.21515656
LCA,
LCN,92.62431335
LDC,60.56823349
LIC,56.57405472
LIE,
LKA,91.29057693
LMC,73.91007996
LMY,82.30508423
LSO,77.58056641
LTE,94.78494263
LTU,99.81943893
LUX,
LVA,99.89429474
MAC,95.12246195
MAF,
MAR,62.50657463
MCO,
MDA,99.29392624
MDG,64.56860733
MDV,98.85946274
MEA,80.75001526
MEX,93.47788162
MHL,98.2650795
MIC,84.3886795
MKD,97.79775238
MLI,30.97652769
MLT,93.68698502
MMR,93.00660324
MNA,78.43881226
MNE,98.58107758
MNG,98.31232071
MNP,
MOZ,54.71018028
MRT,48.81367111
MUS,90.78047943
MWI,63.63677406
MYS,93.87744141
NAC,
NAM,85.56936137
NCL,96.87224579
NER,17.27965021
NGA,55.32287025
NIC,82.47184753
NLD,
NOR,
NPL,62.14544678
NRU,
NZL,
OED,
OMN,89.94392776
OSS,83.64996338
PAK,55.43538427
PAN,94.56617355
PER,92.04283447
PHL,96.14537557
PLW,99.52396774
PNG,63.26478958
POL,99.78076553
PRE,58.62479401
PRI,92.64732742
PRK,99.99874878
PRT,94.9525795
PRY,94.27138265
PSE,95.14842453
PSS,
PST,
PYF,
QAT,96.01639811
ROU,98.68065643
RUS,99.70191956
RWA,68.4756012
SAS,66.69117737
SAU,94.63435364
SDN,58.60131836
SEN,48.41611862
SGP,96.4051946
SLB,
SLE,47.80907059
SLV,84.75559902
SMR,
SOM,
SRB,97.98265076
SSA,60.87575531
SSD,29.40376377
SSF,60.88054657
SST,85.65478516
STP,83.80886587
SUR,94.94522603
SVK,
SVN,99.71240616
SWE,
SWZ,85.28424072
SXM,
SYC,94.63765717
SYR,86.10987473
TCA,
TCD,39.53395653
TEA,94.68924713
TEC,98.89095306
TGO,60.23231983
THA,94.70533244
TJK,99.77473068
TKM,99.68289185
TLA,92.46640015
TLS,57.65837224
TMN,78.23285675
TON,99.26728312
TSA,66.69117737
TSS,60.88054657
TTO,98.9445343
TUN,79.13482539
TUR,92.85142602
TUV,
TZA,75.42026265
UGA,72.14826965
UKR,99.75878906
UMC,94.26898956
URY,98.2131424
USA,
UZB,99.99020131
VCT,
VEN,95.20902443
VGB,
VIR,
VNM,94.01735687
VUT,84.78474426
WLD,85.31338501
WSM,98.994133
XKX,
YEM,69.37568665
ZAF,92.86555372
ZMB,76.51774089
ZWE,85.22809601
