cntry.code,births1000,births.rank,deaths1000,deaths.rank,infant.mort,infant.mort.rank,mat.deaths100000births,mat.deaths.rank,fertility,fertility.rank,pop.km2.arable,pop.km2.arable.rank,median.rank
AFG,37,16,8,86,68,13,396,28,5,15,429,146,28
ALB,11,165,8,94,7,149,29,114,2,163,468,140,140
DZA,26,66,5,176,21,82,140,62,3,68,545,125,82
AND,9,194,4,197,3,185,,,1,207,2746,39,190
AGO,45,4,14,12,93,2,477,23,6,7,527,130,12
ATG,12,157,6,146,16,99,,,2,180,2323,45,123
ARG,18,112,8,95,11,123,52,94,2,102,110,199,112
ARM,14,137,9,56,9,133,25,119,2,167,668,115,119
AUS,13,146,7,137,3,184,6,167,2,145,52,202,167
AUT,10,188,10,51,3,193,4,178,2,188,647,118,178
AZE,17,114,6,157,10,127,25,122,2,120,507,131,127
BHS,14,134,6,144,14,109,80,80,2,151,4781,22,109
BHR,16,127,2,206,8,144,15,134,2,120,90404,4,134
BGD,20,99,5,167,38,55,176,55,2,103,2122,50,55
BRB,12,161,9,68,12,121,27,116,2,162,2564,42,116
BLR,13,147,13,21,3,192,4,175,2,152,171,191,175
BEL,11,173,10,47,4,182,7,161,2,154,1384,66,161
BLZ,22,83,6,162,14,113,28,115,3,89,485,134,115
BEN,36,27,9,55,66,17,405,26,5,30,400,152,27
BTN,19,106,6,143,44,41,148,61,2,117,769,105,105
BOL,24,73,6,140,36,58,206,51,3,73,248,179,73
BIH,8,208,9,54,6,157,11,142,1,203,348,167,157
BWA,25,70,8,100,31,66,129,66,3,78,819,100,70
BRA,14,133,6,153,18,91,44,101,2,150,271,177,133
BRN,16,122,3,201,8,144,23,126,2,139,8472,14,126
BGR,9,195,15,2,7,154,11,145,2,177,205,188,154
BFA,41,11,10,52,65,18,371,31,6,11,306,171,31
BDI,42,10,10,40,63,19,712,8,6,6,925,88,19
KHM,24,72,6,147,26,74,161,57,3,83,381,160,74
CMR,38,14,10,40,55,24,596,15,5,22,393,155,24
CAN,11,171,8,102,4,168,7,160,2,168,79,200,168
CPV,21,87,5,168,19,87,42,102,2,108,961,85,87
CAF,34,31,14,6,90,3,882,2,4,33,278,175,6
TCD,47,2,14,9,87,6,856,3,6,5,296,172,6
CHI,10,187,8,103,3,196,,,2,169,3944,26,145
CHL,14,139,6,156,7,148,22,127,2,142,1390,65,139
CHN,12,152,7,116,11,122,27,118,2,176,1296,70,118
HKG,8,204,6,141,1,209,,,1,208,237245,2,173
MAC,11,168,3,202,2,206,,,1,210,,,202
COL,16,128,6,152,15,105,64,86,2,109,2899,36,105
COM,33,39,7,107,36,59,335,38,4,34,1240,71,59
COG,37,21,10,40,48,33,442,25,5,27,882,93,33
COD,46,3,16,1,97,1,693,10,7,3,1124,75,3
CRI,15,131,4,193,8,139,25,121,2,145,2108,51,131
CIV,37,22,13,15,69,11,645,12,5,26,823,99,15
HRV,9,200,13,19,5,163,8,155,2,188,476,137,155
CUB,11,170,9,75,4,170,39,105,2,156,355,165,165
CUW,12,156,9,66,10,128,,,2,137,,,128
CYP,12,159,6,163,5,164,7,162,1,193,1473,61,162
CZE,11,177,11,32,3,198,4,174,2,174,335,169,174
DNK,10,179,9,59,4,183,6,164,2,157,238,182,179
DJI,25,69,9,73,53,27,229,46,3,67,44980,5,46
DMA,14,140,9,68,20,85,,,2,125,1213,72,79
DOM,20,98,6,150,31,67,92,75,2,99,1329,69,75
ECU,21,90,5,175,20,86,64,87,3,86,1384,67,87
EGY,31,46,6,148,22,79,33,109,4,61,3415,29,79
SLV,18,110,7,128,17,93,54,92,2,129,878,95,95
