cntry.code,gnipc,rank
AFG,1990,163
ALB,11140,93
DZA,14280,80
AND,,
AGO,6450,120
ATG,22220,53
ARG,,
ARM,8720,108
AUS,44570,19
AUT,47510,15
AZE,17140,65
BHS,22930,52
BHR,39140,25
BGD,3550,145
BRB,15930,70
BLR,16840,67
BEL,44100,20
BLZ,7880,113
BEN,2100,162
BTN,7610,116
BOL,6840,119
BIH,10610,101
BWA,15600,73
BRA,15020,76
BRN,,
BGR,16790,68
BFA,1640,168
BDI,730,181
KHM,3290,148
CMR,3080,152
CAN,43970,21
CPV,6390,121
CAF,600,184
TCD,2110,161
CHI,,
CHL,21740,54
CHN,14160,81
HKG,57650,9
MAC,120890,2
COL,13520,85
COM,1430,174
COG,6300,122
COD,720,182
CRI,14880,77
CIV,3240,149
HRV,21730,55
CUB,,
CUW,,
CYP,30840,33
CZE,30420,35
DNK,47810,14
DJI,,
DMA,10420,102
DOM,13570,83
ECU,11190,92
EGY,10690,99
SLV,8220,111
GNQ,16450,69
ERI,,
EST,27510,39
ETH,1620,170
FSM,3600,144
FJI,8700,109
FIN,40840,22
FRA,40470,24
GUF,,
PYF,,
GAB,18810,61
GMB,1580,171
GEO,9410,105
DEU,48260,13
GHA,4070,139
GRC,26790,41
GRD,12520,88
GLP,,
GUM,,
GTM,7510,118
GIN,1120,179
GNB,1450,173
GUY,7520,117
HTI,1760,165
HND,4740,135
HUN,24630,46
ISL,46120,18
IND,6020,124
IDN,10680,100
IRN,17400,63
IRQ,14850,78
IRL,46410,17
ISR,34940,30
ITA,35850,28
JAM,8860,107
JPN,38870,26
JOR,10740,98
KAZ,24260,47
KEN,3060,153
KIR,4150,137
KOR,,
PRK,34700,31
XKX,9840,104
KWT,79970,4
KGZ,3300,147
LAO,5380,129
LVA,24220,48
LBN,14120,82
LSO,3160,150
LBR,720,182
LBY,15140,75
LIE,,
LTU,26660,42
LUX,70750,5
MKD,13570,83
MDG,1400,175
MWI,1140,178
MYS,26140,43
MDV,11310,91
MLI,2360,159
MLT,27390,40
MHL,4710,136
MTQ,,
MRT,3710,141
MUS,19290,60
MYT,,
MEX,17150,64
MDA,5350,130
MCO,,
MNG,11070,94
MNE,15890,71
MAR,7680,115
MOZ,1170,177
MMR,,
NAM,10380,103
NRU,,
NPL,2500,157
NLD,48400,12
NCL,,
NZL,35680,29
NIC,5050,134
NER,950,180
NGA,5800,125
NOR,64590,7
OMN,37340,27
PAK,5350,130
PLW,14700,79
PSE,5070,133
PAN,20710,57
PNG,2800,155
PRY,8670,110
PER,11960,89
PHL,8900,106
POL,25400,45
PRT,28590,37
PRI,24030,49
QAT,140720,1
REU,,
ROU,20900,56
RUS,23790,50
RWA,1720,166
LCA,10820,97
WSM,5720,126
SMR,,
STP,3160,150
SAU,54730,11
SEN,2390,158
SRB,12800,87
SYC,25760,44
SLE,1560,172
SGP,81190,3
SVK,28200,38
SVN,30830,34
SLB,2180,160
SOM,,
ZAF,12830,86
SSD,1630,169
ESP,34490,32
LKA,11480,90
KNA,23700,51
VCT,11000,96
SDN,4080,138
SUR,16870,66
SWZ,8040,112
SWE,47390,16
CHE,61930,8
SYR,,
TWN,,
TJK,3320,146
TZA,2620,156
THA,15210,74
TLS,3820,140
TGO,1320,176
TON,5290,132
TTO,29630,36
TUN,11060,95
TUR,19360,59
TKM,15760,72
TUV,5430,128
UGA,1780,164
UKR,7810,114
ARE,70570,6
GBR,40550,23
USA,56430,10
URY,20360,58
UZB,6110,123
VUT,3040,154
VEN,17730,62
VNM,5690,127
ESH,,
YEM,3660,143
ZMB,3700,142
ZWE,1700,167
