cntry.code,incshl10.0514
ABW,
AFG,
AGO,2.1
ALB,3.6
AND,
ARB,
ARE,
ARG,1.4
ARM,3.6
ASM,
ATG,
AUS,2.6
AUT,3.1
AZE,4.8
BDI,4.0
BEL,3.1
BEN,2.5
BFA,3.2
BGD,3.9
BGR,2.3
BHR,
BHS,
BIH,3.0
BLR,3.7
BLZ,
BMU,
BOL,0.8
BRA,1.0
BRB,
BRN,
BTN,2.7
BWA,1.1
CAF,1.2
CAN,2.7
CEB,
CHE,3.0
CHI,
CHL,1.6
CHN,2.0
CIV,1.8
CMR,2.1
COD,2.1
COG,1.8
COL,1.1
COM,
CPV,2.0
CRI,1.4
CSS,
CUB,
CUW,
CYM,
CYP,3.6
CZE,3.8
DEU,3.0
DJI,1.5
DMA,
DNK,2.6
DOM,1.7
DZA,
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,1.3
EGY,
EMU,
ERI,
ESP,2.0
EST,2.7
ETH,3.2
EUU,
FCS,
FIN,3.8
FJI,2.5
FRA,3.2
FRO,
FSM,1.9
GAB,2.3
GBR,2.6
GEO,2.0
GHA,1.9
GIB,
GIN,2.7
GMB,
GNB,1.6
GNQ,
GRC,2.1
GRD,
GRL,
GTM,1.4
GUM,
GUY,
HIC,
HKG,
HND,0.9
HPC,
HRV,3.1
HTI,0.6
HUN,3.3
IBD,
IBT,
IDA,
IDB,
IDN,3.1
IDX,
IMN,
IND,3.6
INX,
IRL,3.1
IRN,2.5
IRQ,
ISL,3.6
ISR,1.7
ITA,2.2
JAM,
JOR,
JPN,2.7
KAZ,4.0
KEN,1.7
KGZ,3.7
KHM,3.5
KIR,2.2
KNA,
KOR,
KWT,
LAC,
LAO,3.1
LBN,
LBR,2.4
LBY,
LCA,
LCN,
LDC,
LIC,
LIE,
LKA,3.0
LMC,
LMY,
LSO,0.9
LTE,
LTU,2.2
LUX,3.1
LVA,2.2
MAC,
MAF,
MAR,2.6
MCO,
MDA,3.3
MDG,2.5
MDV,2.5
MEA,
MEX,1.8
MHL,
MIC,
MKD,2.1
MLI,2.9
MLT,
MMR,
MNA,
MNE,3.3
MNG,3.2
MNP,
MOZ,1.9
MRT,2.8
MUS,3.0
MWI,2.2
MYS,1.8
NAC,
NAM,1.3
NCL,
NER,3.1
NGA,2.0
NIC,2.0
NLD,3.1
NOR,3.2
NPL,3.5
NRU,
NZL,
OED,
OMN,
OSS,
PAK,4.0
PAN,1.0
PER,1.4
PHL,2.4
PLW,
PNG,1.7
POL,3.1
PRE,
PRI,
PRK,
PRT,2.5
PRY,1.3
PSE,3.0
PSS,
PST,
PYF,
QAT,
ROU,2.5
RUS,2.3
RWA,2.0
SAS,
SAU,
SDN,2.6
SEN,2.4
SGP,
SLB,1.9
SLE,3.3
SLV,1.9
SMR,
SOM,
SRB,3.4
SSA,
SSD,1.3
SSF,
SST,
STP,3.5
SUR,
SVK,3.5
SVN,4.0
SWE,3.2
SWZ,1.5
SXM,
SYC,2.1
SYR,
TCA,
TCD,1.8
TEA,
TEC,
TGO,2.2
THA,2.7
TJK,3.5
TKM,
TLA,
TLS,3.9
TMN,
TON,2.6
TSA,
TSS,
TTO,
TUN,2.6
TUR,2.1
TUV,2.6
TZA,2.8
UGA,2.4
UKR,4.2
UMC,
URY,1.8
USA,1.5
UZB,
VCT,
VEN,0.3
VGB,
VIR,
VNM,2.6
VUT,2.7
WLD,
WSM,2.6
XKX,3.5
YEM,
ZAF,1.0
ZMB,1.4
ZWE,2.5
,
